name,address,type,number,scheme,id,postal
GOLDILOCKS FRIED CHICKEN @ UNIVERSAL STUDIOS SINGAPORE (RWS),30 SENTOSA GATEWAY #01-332 USS-Shrek (FFA) Goldilocks FC 098269,Restaurant,EERX20030011201,Eating Establishment,c4e38cd9-061e-469b-893e-44476fb38094,098269
GOMGOM,8 SOMAPAH ROAD #01-202A SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN 487372,Restaurant,EERT20220000600,Eating Establishment,b39ac8e6-0f95-4e8c-8250-7466742f0de1,487372
GOOD BITES,5 BISHAN STREET 14 #03-01 BISHAN SPORTS HALL 579783,Restaurant,EERN21060012501,Eating Establishment,9b5ba2ed-73b9-4fe1-8267-282eb1052fb9,579783
Good Chef Pte Ltd,"231 OUTRAM ROAD #R-roof D'HOTEL,(ROOF LEVEL) 169040",Catering Company,FPCA20240000533,Food Preparation Area,2daa5a46-f0e9-4090-98b9-795ee79e2d87,169040
Good Day Cafe,11 LOWER KENT RIDGE ROAD #01-02 NUS MEDICAL-SCIENCE LIBRARY 119083,Restaurant,EERT20240000948,Eating Establishment,86ffcf77-760d-4500-bc5b-ba219a8d726a,119083
Good Day Cafe,2 ANG MO KIO DRIVE #02-08 ITE COLLEGE CENTRAL 567720,Restaurant,EERT20240000947,Eating Establishment,86ffcf77-760d-4500-bc5b-ba219a8d726a,567720
Good Day Cafe,2 ANG MO KIO DRIVE #02-01 / 02 ITE COLLEGE CENTRAL BLK C 567720,Snack Bar / Bakery,EESB20220000040,Eating Establishment,86ffcf77-760d-4500-bc5b-ba219a8d726a,567720
Good Day Cafe (S21) @ Makan Place Ngee Ann Polytechnic,"535 CLEMENTI ROAD #02-02 NGEE ANN POLYTECHNIC (BLK 51), Stall 21 599489",Hawker,EEHK20230001017,Eating Establishment,429cdf86-ad49-4f09-b1a8-76f6be789a7f,599489
Good Old Days,60 SILOSO BEACH WALK #01-04 SENTOSA 098997,Restaurant,EERX21120013355,Eating Establishment,561c9477-866c-435e-b64f-d845a062f5e7,098997
Goreng Pisang,306A WOODLANDS STREET 31 Stall 6 @ Mr Teh Tarik Eating House #01-01 FUCHUN NEIGHBOURHOOD CENTRE 731306,Hawker,EEHK25120000011,Eating Establishment,5e657aad-e96c-4880-ade0-0645f296bec2,731306
Gourmel Pte Ltd,5 BURN ROAD #06-02 TEE YIH JIA FOOD BUILDING 369972,Catering Company,FPCA20250000502,Food Preparation Area,eb078e0e-1e71-42a7-970d-bc6e0e398027,369972
Gourmet Pizza To Go,1 STADIUM PLACE #01-43 397628,Restaurant,EERN21060012464,Eating Establishment,80c6b9e8-c4ce-4904-9d8c-d03882b21fc0,397628
GOURMETZ PTE. LTD.,1 ENTERPRISE ROAD #01-01 629813,Catering Company,FPCA25100000046,Food Preparation Area,56c3c29b-e276-44bb-9cae-eace077d2021,629813
GRAIN PTE. LTD.,"5 BURN ROAD #05-01, #06-03 TEE YIH JIA FOOD BUILDING 369972",Catering Company,FPGN21100001606,Food Preparation Area,16af735b-707b-4848-8e97-414224d24424,369972
